text,text_sentiment
"#bullmarket ends euphoria; #bearmarket ends fear! question #cryptocommunity bullish bearish #crypto today june 2, 2022?? #commentbelow",1
suspending trading?? #stockmarketcrash,0
"buy now, rich later #altcoins #bearmarket #cryptocurrency @sekuyaofficial",1
"#stockmarketcrash over. buy knife, dip. still headed down. $spy $qqq $aapl $tsla _©¸____ï¸__¾__ï¸",0
"@altcoingordon didn__ know there__ four stage , always snow ? #bearmarket",0
cut certain ce positions eventually perish 0 rising vix margin requirements today much #nifty #stockmarketcrash,0
"_ðµð´ð¼ðµð¶_ ð½ð°ð»ð°___ð²ð°ð½ð½_ - ð¼__, _ðºð¸ð¹ ð¿ð¾_ð¸_____ ð´ð»_ ðµ_ðµðº_ð¸ð²ð½ð¾ð³ð¾ __ð½ðº__ð¾ð½_ð²ð°ð½ð½_ ð¼ðµ_ð°ð½_ð·ð¼_ð² _ð¸ð½ðº_. ______ ð¢ðµ, _ð¾ ð²ð½ð¸ð·_ __ð¾ð³ð¾ð´ð½_, ð½ðµ ð¾ð·ð½ð°_ð°_, _ð¾ ð²ð¾ð½ð¾ ð±_ð´ðµ ð²ð½ð¸ð·_ _ ð·ð°ð²__ð°. _ __ #bearmarket #bearish #cryptomarket #money #investing",0
sips current market situation? #stockmarket #stockmarketcrash,0
__ear market_... __rypto winter_... __he dip keeps dipping_... __he bottomless dip_... call want ugly side crypto no-one really likes talk about_ 2/n #bearmarket #btc #cryptonews,-1
"__ see..the real bloodbath markets happen, may shakes people awake finally.. like thief night_____ #xrp #xlm #stockmarketcrash #bitcoincrash #stockmarket #cryptocrash #buythedip #stellar",-1
definitely loaded much bull market 2021. definitely balancing act. men separated boys time bear market right. #cryptotrading #bearmarket _§¸___§¸,1
"people color blindness syndrome don__ see portfolio red , #happy #stockmarketcrash",0
know feel calm right now. maybe see looks like time kind evolution #crypto market. #bitcoincrash #bearmarket #cryptocrash,1
dalal street called da-lal street! #stockmarket #nifty #sharemarket #stockmarketcrash,0
@potus go awol fam? wanna talk #bidenisafailure #biden #cowardofthecottage #russiaukraineconflict #stockmarketcrash #ww3,-1
okie doke. #cryptocrash #bitcoincrash #stockmarketcrash,0
"think confuse ""but good company"" stock #bearmarket.",1
"#nifty standing jan'22 low, #bhoomimaya monthly green band (16586 still s2) 1hrs bearish target. entering right strong support. depending today's close, positional buy setup radar. #niftyfuture #stockmarketcrash",1
"strange feeling, opinion bears stop positions liquidated. #cryptocrash #bitcoin #bearmarket #crypto",-1
"__#nifty fut - 15,794.50 (2.78%) __ #sensex fut - 54,504 (2.41%) __ #banknifty fut - 34,425 (2.76%) indian #markets open gap due geo #political pressure. #stockmarketcrash #india #russiaukrainewar",-1
"late day reversal (folks front running passive inflows?) appears changed hearts minds. many furu's calling ""bottom"" ""near bottom."" terms correction, then, #bearmarket. view - going easy.",1
portfolio went almost 5% today. #stocks added today 1. #dmart 2.#mindtree 3. #bajajfinance 4. #deepaknitrite 5. #hcltech #stockmarkets #stockmarketcrash,0
#democrats getting want! #democratsdeliver pain suffering #stockmarketcrash,-1
#stockmarketcrash pay 1l taxes per quarter sebi sits silent insiders masquerading big bull rob money retail investors,-1
@devchart 20k$ incoming #bearmarket,0
1) comparison 2022 #nasdaq start #bearmarket bear markets took decade found bottom. drops layers dead cat bounces between. that__ case time nasdaq finds bottom $ completely implode.,-1
"new investors, time start buying. entire #stockmarketindia available discount. #stockmarketcrash (p.s. viewpoint, ur research first)",0
"nine years march 2000 march 2009, stock prices actually declined. know hold get hell out. #stockmarkets #stockmarketcrash #investingtips #stocks",-1
holy cow market deeps ! #bitcoin #cryptocrash #stockmarketcrash,0
#worldwar3 #russiaukraineconflict #ukrainecrisis #stockmarketcrash #nato #america 9/11 inside job perfect excuse america invade #afghanistan #iraq list goes,1
"#bearmarket continue bit. march-april fed hikes become imminent crypto escape hatch. meantime, one follow hamsters take profits. target-rich environment.",1
portfolio redder ex's red flags pls #stockmarketcrash,1
biggest dump yet 2022 coming tomorrow. all. #stockmarket #stockmarketcrash #optionstrading $spy $qqq $dia,-1
"today shorting anything 7%, bear market pull backs equally violent &amp; pull back even rally. #stockmarket #stockmarketcrash #stockmarketindia #trading #stocks #index #shorts",-1
supply increases prices sugar fall &amp; also boost ethanol blending. affect companies profitability ethanol production increase. use opportunity buy sugar stocks #sugarexport #stockmarketcrash #commodities,1
excited market crash tomorrow __ #abgshipyardscam #trader #bearmarket #bearish,-1
@scapes_d #nfts like year. many seem buying many cos #bearmarket scare. maybe time try adult content nfts like @splashnfts #xxxnifty made adult entertainment talk #metaverse horizon,1
watchlist____ $wmt 148.63__ 147.00__ $fb 197.75__ 187.10__ come join discord get access full watchlist everyday! #stockmarketcrash #stocksinfocus,-1
"people, please stop buying shit, fed go back propping stock market. thank you. #stockmarketcrash #inflation",-1
uber cars airbnb houses . . nasdaq buyers #stockmarketcrash #stockmarketindia #stockmarket #sharemarket #nse #financialastrology,-1
"[23/02, 08:11] khan: adanipower__120.55 buy zone__121__125__129 sloss__114 [23/02, 08:12] israrkhan: ibreal __113.65 buy zone__114___119__125 sloss __108 [23/02, 08:13] khan: genesys __462.30 465__475__579 sloss__448__#intraday #stockmarketcrash #stockmarket #nse #tradesecret",0
#incaseyoumissedit #stockmarket (dow jones industrial average) 935 right #stockmarketcrash,0
today__ insult choice: __hat__ retirement fund down_ #bearmarket #stockmarketcrash,-1
going surprised $sol test lows again. time hop short 25 ma. sell order @ $95.7 open tp it__ likely drops $80 $79 range. sl @ $98. #btc #crypto #bearmarket,1
rule 1 lose 60% profit you__e chasing 600% profit take profit &amp; always remember apply stop loss #btc #bearmarket,-1
"problem: russia ukraine war. pblm :is fii's, war markets last one year #stockmarketcrash #fii'sselling #stockmarketindia",-1
it__ biden administration #stockmarketcrash,0
"investors held back reserve fiat currency stablecoins, expendable capital bank accounts, ability __uy dip._ doesn__ mean sit watch portfolio plummet hour. #bearmarket2022 #nftcommunity",1
"can__ help think bear market blessing crypto gods. majority us buying incredibly overvalued prices, mana heavens gives us chance lower average entry price drastically. #cryptomarket #bearmarket #opportunity",1
"good luck everyone, stay strong storm. remember sun rise again. then, take care keep mind important. love ya ! #bearmarket",1
youtubers tweet guys talking #btc goin 100k week _¤£_¤£_¤£_¤£ #bitcoincrash #cryptocrash #btc #cryptotrading #rekt #cryptocurrency #bearmarket #cryptonews,0
chances hike repo rate market may go next 15 days.#inflation #cpi #economy #markets #recession #stockmarketcrash,1
"#russia would gone party #ukraine #stockmarketindia reacted 1ly. war, reacts negativity #stockmarketcrash #bloodbath amazing.. #russiaukraineconflict costing investors..",-1
__y favourite holding period forever_ - warren buffett applies asset/stock you__e holding fundamentally sound. #warrenbuffett #investing #stockmarket #cryptocurrency #finance #stockmarketcrash #stockstobuy,0
dems protecting investments right now? #stockmarketcrash,0
sold share rs 2150 bought back rs 575 per share almost 400% return 6 months! verdict: shares safely back portfolio 3 times worth cash. #paytm #stockmarketcrash looks like vijay shankar bull bear market,1
"remember, #bearmarket try take soul - don__ give up! #vechain #vet #crypto #vtho #cryptocrash #bitcoin #terra $vet $eth $vra $btc $luna",0
"#stockmarketcrash @narendramodi @nsitharaman govt seriously worried ... __ stock market crashing... free fall continues last 6 days ... common people selling "" gold "" re- pay debts.... really worried ?",-1
$lmnd one talking _ #buffett #fintwit #cathie #stockmarketcrash,-1
@richardheartwin deserve #bearmarket twitter today,-1
"one guy says: ""to invest hope legal political solution delusional. waging war american national."" #stockmarketcrash",1
@elonmusk buying dodge? think it__ due pump __ #stockmarketcrash,0
market turmoil extremes leads many job losses already battered economy. heading towards dark times since end severe inflation sight. melt begun #inflation #recession #stockmarketcrash #crypto,-1
"$sofi 100% company bullish long term right now. would buy price would happy see go lower. buy low sell high, keep eyes long term. $rblx $coin $fsly $mp #stockmarketcrash #optionstrading #bullish",1
"every time say kiss men get called ""gay"" mom kisses men shes called ""straight"" #stockmarketcrash",1
time dive bear market ! #stockmarketcrash #cryptocurrency #cryptocrash,0
#bnb $220 incoming! #cryptocrash #bearmarket #btc,0
important pay attention futures going stock markets. tumbling falling: recession around corner temporary panic? sure going us yield looking good #stockmarketcrash #inflation,-1
ever able break even #cartrade #gls?? #nifty50 #stockmarketcrash,0
#bitcoin it__ different way life ! #btcusdt lovely chart ! #bearmarket come !,1
still remember called market guru type people given target bajaj finance 800 march 2020 covid crisis time. never happened. #stockmarket #bajajfinance #stockmarketcrash reco,-1
get followers crypto twitter apart fake buying _¤£ #btc #eth #alts #bearmarket,-1
mr. powell's speech change destiny dollar bull side? #dollar #powell #forex #friday #forexsignals #stockmarketcrash #xauusd,0
"mark one year office, joe biden commissioned tom hanks narrate celebratory video_ time #stockmarketcrash, war ukraine, americans face empty grocery shelves. isn__ glitch; amerika democrats want_",-1
"#stockmarketcrash buy ""dip"" hang on! putin is! told you, russia, always wins!",1
"fundamentals going move markets week, need make many revaluations companies. #investments #stockmarketcrash #stockmarkets",0
@cryptoaddict86 #crypto volatile markets that's makes lucrative learnt trade it. money made even #bearmarket,0
it__ fun watch tv analysts. ye log har din apne __ong term views_ change kar dete hain ____ #stockmarketindia #stockmarketcrash #nifty #banknifty,1
analyst saying #btc may drop 14k sometime year!?!? _ #bearmarket,-1
people getting rekt chasing hyped mints. #bearmarket baby. #nft #nftcommunity #solananft #solana #eth,0
see oligarchs planning another profit party #stockmarketcrash,1
buy dip #hodl ? #stockmarketcrash,0
@maddow ignore #bidenomics everything fine #stockmarketcrash #democratsaretheproblem,-1
prepared worst case scenario. case. could opportunity life time __ ___time tell #xrp #bitcoin #ethereum #crypto #cryptocurrency #bearmarket #swissborg #chsb,-1
biggest brutal upward movements happening bear markets! it__ unusual see bull rally__ one two weeks 50% swings. fomo puts! meme stocks primed run. $gme $amc $bbig $tsla #stockmarket #stockmarketcrash,-1
#marketcrash #bearmarket #marketsentiment #speculate #pittrader #itterly #paulitterly ready see march 2020 lows again?,1
$ada 83% #nfts still look good ever! __ __ #bearmarket #crypto #cardano,1
"know #bearmarket ponzi schemes, rugpulls whatever shitcoins trying convince scam posting flyers social media stating scams... _¤_____ï¸ #nuffsaid",1
went vacation 2 days. holy shit blood bath. #btc #avax #bearmarket #dca,-1
#stockmarket #stockmarketcrash #buildbackbetter going? @potus,0
pulled mackenzie scott melinda gates sold stocks high! #thestrat #stockmarket #stockmarketcrash,0
retiring 520 years think 401k support bad news you--it retiring anytime soon. mean tweets good right? #stockmarketcrash #bidenstockmarketcrash,1
"projects must survive beat #bearmarket. here's tips__ __ ensure posts eye capturing art/visual/video/gif __community growth huge, make connections provide longevity support __ï¸_ontinue build. builders gonna make",1
much inflated baloon ___§¨____#stockmarketcrash,0
portfolio made tough market times. profit booked good market times company's bad times starts. #stockmarketindia #stockmarket #stockmarketcrash,1
